OID_,COUNTYFP_2020,ALAND_2020,AWATER_2020,TOTALPOP_2020,AUND1_2020,A1TO4_2020,A5TO17_2020,A18TO24_2020,AUND25_2020,A25OV_2020,A25TO64_2020,A65TO79_2020,A80OV_2020,WOMCHILD_2020,WHITE_2020,BLACK_2020,ASIAN_2020,HAWPI_2020,OTHER_2020,TWOMORE_2020,NHISP_2020,HISP_2020,NHISPWHITE_2020,NHISPBLACK_2020,HOUSEHOLD_2020,HHPOP_2020,FEMW18CHIL_2020,HHUNIT_2020,OCC_2020,OWN_2020,VACANT_2020,HU1P_2020,STATEFP20,Shape_Length,Shape_Area,FIPSTCO,SVI_2020,SVI_2010,SVI_2000,TP1990L05,TP1990L10,TP1990O10,TP2000L05,TP2000L10,TP2000O10,TP2010L05,TP2010L10,TP2010O10,TP2020L05,TP2020L10,TP2020O10,INLECZ
473,011,1613083467.000000000000000,6030667.000000000000000,10357.000000000000000,112.000000000000000,386.000000000000000,1508.000000000000000,709.000000000000000,2710.000000000000000,6950.000000000000000,5789.000000000000000,3108.000000000000000,363.000000000000000,1872.000000000000000,2320.000000000000000,7396.000000000000000,9.000000000000000,10.000000000000000,302.000000000000000,248.000000000000000,9854.000000000000000,503.000000000000000,2281.000000000000000,7388.000000000000000,3928.000000000000000,8653.000000000000000,1872.000000000000000,4516.000000000000000,4516.000000000000000,3928.000000000000000,588.000000000000000,1556.000000000000000,01,2.078952924465453,0.154691371251516,01011,0.616559223641584,0.758195508502820,0.839878942170304,0,0,0,0,0,0,0,0,0,0,0,0,0
474,013,2012002546.000000000000000,2701199.000000000000000,19051.000000000000000,211.000000000000000,831.000000000000000,3104.000000000000000,1513.000000000000000,5661.000000000000000,11781.000000000000000,9298.000000000000000,6408.000000000000000,994.000000000000000,3974.000000000000000,9752.000000000000000,8430.000000000000000,143.000000000000000,5.000000000000000,105.000000000000000,587.000000000000000,18791.000000000000000,260.000000000000000,9679.000000000000000,8389.000000000000000,8170.000000000000000,18770.000000000000000,3974.000000000000000,9806.000000000000000,9806.000000000000000,8170.000000000000000,1636.000000000000000,2786.000000000000000,01,1.835365278521284,0.191773178476816,01013,0.572181411252481,0.710131649962354,0.717962265631248,0,0,0,0,0,0,0,0,0,0,0,0,0
475,015,1569246127.000000000000000,16536293.000000000000000,116441.000000000000000,1303.000000000000000,5042.000000000000000,17860.000000000000000,13695.000000000000000,37847.000000000000000,70272.000000000000000,57167.000000000000000,37346.000000000000000,4769.000000000000000,26932.000000000000000,80586.000000000000000,25559.000000000000000,1190.000000000000000,119.000000000000000,2471.000000000000000,6029.000000000000000,111431.000000000000000,5010.000000000000000,79519.000000000000000,25365.000000000000000,46437.000000000000000,110821.000000000000000,26932.000000000000000,53052.000000000000000,53052.000000000000000,46437.000000000000000,6615.000000000000000,14100.000000000000000,01,2.198380660680564,0.154341517759841,01015,0.456100072413757,0.685037715328834,0.396860217565901,0,0,0,0,0,0,0,0,0,0,0,0,0
476,017,1545085601.000000000000000,16971700.000000000000000,34772.000000000000000,344.000000000000000,1409.000000000000000,5229.000000000000000,3136.000000000000000,10117.000000000000000,21836.000000000000000,17487.000000000000000,11571.000000000000000,1536.000000000000000,7205.000000000000000,18850.000000000000000,13512.000000000000000,401.000000000000000,13.000000000000000,680.000000000000000,1210.000000000000000,33535.000000000000000,1237.000000000000000,18616.000000000000000,13441.000000000000000,14238.000000000000000,33898.000000000000000,7205.000000000000000,16373.000000000000000,16373.000000000000000,14238.000000000000000,2135.000000000000000,4245.000000000000000,01,1.721905081879890,0.150571175023572,01017,0.652580836459524,0.870209797304501,0.740657239240042,0,0,0,0,0,0,0,0,0,0,0,0,0
477,019,1433620850.000000000000000,120310807.000000000000000,24971.000000000000000,238.000000000000000,934.000000000000000,3636.000000000000000,1904.000000000000000,6706.000000000000000,16104.000000000000000,12390.000000000000000,8529.000000000000000,1160.000000000000000,4707.000000000000000,22707.000000000000000,987.000000000000000,56.000000000000000,1.000000000000000,191.000000000000000,920.000000000000000,24571.000000000000000,400.000000000000000,22563.000000000000000,987.000000000000000,10411.000000000000000,24678.000000000000000,4707.000000000000000,14513.000000000000000,14513.000000000000000,10411.000000000000000,4102.000000000000000,2936.000000000000000,01,1.892176660332440,0.151949618227876,01019,0.395091047441265,0.803084478896931,0.503422665973496,0,0,0,0,0,0,0,0,0,0,0,0,0
478,021,1794438835.000000000000000,20592116.000000000000000,45014.000000000000000,560.000000000000000,2189.000000000000000,7924.000000000000000,3781.000000000000000,14410.000000000000000,27758.000000000000000,22899.000000000000000,14490.000000000000000,1588.000000000000000,9823.000000000000000,35527.000000000000000,4067.000000000000000,181.000000000000000,6.000000000000000,2892.000000000000000,2003.000000000000000,40596.000000000000000,4418.000000000000000,34878.000000000000000,4040.000000000000000,17302.000000000000000,44632.000000000000000,9823.000000000000000,19438.000000000000000,19438.000000000000000,17302.000000000000000,2136.000000000000000,4410.000000000000000,01,2.086324027186307,0.174827281927126,01021,0.553301836954457,0.733870979272917,0.521187800914050,0,0,0,0,0,0,0,0,0,0,0,0,0
479,023,2365900081.000000000000000,19114321.000000000000000,12665.000000000000000,138.000000000000000,513.000000000000000,1831.000000000000000,950.000000000000000,3447.000000000000000,8106.000000000000000,6316.000000000000000,4302.000000000000000,618.000000000000000,2441.000000000000000,7074.000000000000000,5232.000000000000000,22.000000000000000,0.000000000000000,47.000000000000000,260.000000000000000,12552.000000000000000,113.000000000000000,7039.000000000000000,5217.000000000000000,5675.000000000000000,12599.000000000000000,2441.000000000000000,7104.000000000000000,7104.000000000000000,5675.000000000000000,1429.000000000000000,2027.000000000000000,01,2.686531457429276,0.227669175728119,01023,0.690380971511931,0.827165877709694,0.782760553786514,0,0,0,0,0,0,0,0,0,0,0,0,0
480,025,3207494086.000000000000000,36657889.000000000000000,23087.000000000000000,302.000000000000000,1016.000000000000000,3536.000000000000000,1859.000000000000000,6697.000000000000000,14449.000000000000000,11570.000000000000000,7808.000000000000000,1205.000000000000000,4893.000000000000000,12029.000000000000000,10255.000000000000000,94.000000000000000,1.000000000000000,82.000000000000000,552.000000000000000,22881.000000000000000,206.000000000000000,11970.000000000000000,10223.000000000000000,9662.000000000000000,22700.000000000000000,4893.000000000000000,11655.000000000000000,11655.000000000000000,9662.000000000000000,1993.000000000000000,3030.000000000000000,01,3.785235629962296,0.308554041549945,01025,0.690715043275571,0.837081322557907,0.786144399235392,0,1172,26068,0,1094,26773,0,872,24961,0,629,22458,1
481,027,1564255426.000000000000000,5281616.000000000000000,14236.000000000000000,140.000000000000000,601.000000000000000,2182.000000000000000,1110.000000000000000,4047.000000000000000,8994.000000000000000,7151.000000000000000,4731.000000000000000,688.000000000000000,2778.000000000000000,11375.000000000000000,1963.000000000000000,48.000000000000000,4.000000000000000,195.000000000000000,595.000000000000000,13787.000000000000000,449.000000000000000,11261.000000000000000,1942.000000000000000,5926.000000000000000,13983.000000000000000,2778.000000000000000,7035.000000000000000,7035.000000000000000,5926.000000000000000,1109.000000000000000,1704.000000000000000,01,2.022787695101388,0.151892252419376,01027,0.534025342027713,0.818019260733907,0.612916129058407,0,0,0,0,0,0,0,0,0,0,0,0,0
482,029,1450666453.000000000000000,2352217.000000000000000,15056.000000000000000,162.000000000000000,706.000000000000000,2587.000000000000000,1127.000000000000000,4563.000000000000000,9383.000000000000000,7545.000000000000000,4863.000000000000000,625.000000000000000,2972.000000000000000,13819.000000000000000,466.000000000000000,21.000000000000000,2.000000000000000,129.000000000000000,566.000000000000000,14772.000000000000000,284.000000000000000,13740.000000000000000,457.000000000000000,6054.000000000000000,14865.000000000000000,2972.000000000000000,6801.000000000000000,6801.000000000000000,6054.000000000000000,747.000000000000000,1742.000000000000000,01,2.175127039301849,0.141263425949175,01029,0.519662777940878,0.859728648090036,0.444861171858751,0,0,0,0,0,0,0,0,0,0,0,0,0
483,031,1758565928.000000000000000,3907189.000000000000000,53465.000000000000000,670.000000000000000,2538.000000000000000,9507.000000000000000,4585.000000000000000,17276.000000000000000,32578.000000000000000,26862.000000000000000,16875.000000000000000,2088.000000000000000,11755.000000000000000,37080.000000000000000,8760.000000000000000,909.000000000000000,61.000000000000000,1908.000000000000000,4107.000000000000000,48578.000000000000000,4887.000000000000000,35759.000000000000000,8643.000000000000000,21263.000000000000000,52708.000000000000000,11755.000000000000000,24105.000000000000000,24105.000000000000000,21263.000000000000000,2842.000000000000000,5921.000000000000000,01,1.678825016065166,0.167147957083801,01031,0.475639199430932,0.681160208824943,0.500027421318026,0,0,0,0,0,0,0,0,0,0,0,0,0
484,033,1535742270.000000000000000,79160396.000000000000000,57227.000000000000000,660.000000000000000,2582.000000000000000,8944.000000000000000,4559.000000000000000,16708.000000000000000,35991.000000000000000,29138.000000000000000,19191.000000000000000,2547.000000000000000,12064.000000000000000,43631.000000000000000,9286.000000000000000,432.000000000000000,9.000000000000000,902.000000000000000,2697.000000000000000,55495.000000000000000,1732.000000000000000,43241.000000000000000,9222.000000000000000,24425.000000000000000,56826.000000000000000,12064.000000000000000,27666.000000000000000,27666.000000000000000,24425.000000000000000,3241.000000000000000,7535.000000000000000,01,2.198938069487040,0.158887448116080,01033,0.515125638247598,0.756593019916713,0.497322240193546,0,0,0,0,0,0,0,0,0,0,0,0,0
485,035,2202213384.000000000000000,6426488.000000000000000,11597.000000000000000,125.000000000000000,482.000000000000000,1727.000000000000000,885.000000000000000,3205.000000000000000,7345.000000000000000,5715.000000000000000,3926.000000000000000,596.000000000000000,2189.000000000000000,5912.000000000000000,5104.000000000000000,40.000000000000000,1.000000000000000,99.000000000000000,369.000000000000000,11341.000000000000000,256.000000000000000,5835.000000000000000,5096.000000000000000,5066.000000000000000,11472.000000000000000,2189.000000000000000,6382.000000000000000,6382.000000000000000,5066.000000000000000,1316.000000000000000,1750.000000000000000,01,2.601000631867840,0.209519537592596,01035,0.565245820306582,0.890757753628374,0.744193307994272,0,0,0,0,0,0,0,0,0,0,0,0,0
